2015-06-19 21:11:56 INFO  :79 - this is a line inside the logger
2015-06-19 21:11:57 INFO  :143 - the gui is running...
2015-06-19 21:24:56 INFO  :46 - Progrem constructor invoked...
2015-06-19 21:24:57 INFO  :144 - Successfully built GUI
2015-06-19 21:24:57 INFO  :58 - Update thread started
2015-06-19 21:26:30 INFO  :46 - Progrem constructor invoked...
2015-06-19 21:26:31 INFO  :144 - Successfully built GUI
2015-06-19 21:26:31 INFO  :58 - Update thread started
2015-06-19 21:26:39 INFO  :60 - Table updated
2015-06-19 21:26:39 INFO  :58 - Update thread started
2015-06-19 21:26:47 INFO  :60 - Table updated
2015-06-19 21:26:47 INFO  :58 - Update thread started
2015-06-19 21:37:19 INFO  :46 - Progrem constructor invoked...
2015-06-19 21:38:15 INFO  :46 - Progrem constructor invoked...
2015-06-19 21:38:15 INFO  :57 - Opening stream to bank of israel
2015-06-19 21:38:16 INFO  :119 - Closing stream with bank of israel
2015-06-19 21:38:16 INFO  :144 - Successfully built GUI
2015-06-19 21:38:16 INFO  :58 - Update thread started
2015-06-19 21:39:42 INFO  :46 - Progrem starting
2015-06-19 21:39:42 INFO  :56 - Opening stream to bank of israel
2015-06-19 21:39:43 INFO  :118 - Closing stream with bank of israel
2015-06-19 21:39:43 INFO  :144 - Successfully built GUI
2015-06-19 21:39:43 INFO  :58 - Update thread started
2015-06-19 21:39:53 INFO  :60 - Table updated
2015-06-19 21:39:53 INFO  :58 - Update thread started
2015-06-19 21:40:03 INFO  :60 - Table updated
2015-06-19 21:40:03 INFO  :58 - Update thread started
2015-06-19 21:40:37 INFO  :46 - Progrem starting
2015-06-19 21:40:37 INFO  :56 - Opening stream to bank of israel
2015-06-19 21:40:38 INFO  :118 - Closing stream with bank of israel
2015-06-19 21:40:38 INFO  :144 - Successfully built GUI
2015-06-19 21:40:38 INFO  :58 - Next update in 10 minutes
2015-06-19 21:40:48 INFO  :60 - Table updated
2015-06-19 21:40:48 INFO  :58 - Next update in 10 minutes
2015-06-19 21:40:58 INFO  :60 - Table updated
2015-06-19 21:40:58 INFO  :58 - Next update in 10 minutes
2015-06-24 11:33:10 INFO  :46 - Progrem starting
2015-06-24 11:33:10 INFO  :56 - Opening stream to bank of israel
2015-06-24 11:33:11 INFO  :118 - Closing stream with bank of israel
2015-06-24 11:33:11 INFO  :144 - Successfully built GUI
2015-06-24 11:33:12 INFO  :67 - Next update in 10 minutes
2015-06-24 11:41:36 INFO  :46 - Progrem starting
2015-06-24 11:41:36 INFO  :56 - Opening stream to bank of israel
2015-06-24 11:41:36 INFO  :118 - Closing stream with bank of israel
2015-06-24 11:41:36 INFO  :144 - Successfully built GUI
2015-06-24 11:41:36 INFO  :67 - Next update in 10 minutes
2015-06-24 11:42:38 INFO  :46 - Progrem starting
2015-06-24 11:42:38 INFO  :56 - Opening stream to bank of israel
2015-06-24 11:42:39 INFO  :118 - Closing stream with bank of israel
2015-06-24 11:42:39 INFO  :144 - Successfully built GUI
2015-06-24 11:46:57 INFO  :46 - Progrem starting
2015-06-24 11:46:57 INFO  :56 - Opening stream to bank of israel
2015-06-24 11:46:57 INFO  :118 - Closing stream with bank of israel
2015-06-24 11:46:58 INFO  :145 - Successfully built GUI
2015-06-24 11:54:31 INFO  :46 - Progrem starting
2015-06-24 11:54:31 INFO  :56 - Opening stream to bank of israel
2015-06-24 11:54:31 INFO  :118 - Closing stream with bank of israel
2015-06-24 11:54:32 INFO  :144 - Successfully built GUI
2015-06-24 11:55:53 INFO  :46 - Progrem starting
2015-06-24 11:55:53 INFO  :56 - Opening stream to bank of israel
2015-06-24 11:55:53 INFO  :118 - Closing stream with bank of israel
2015-06-24 11:55:53 INFO  :144 - Successfully built GUI
2015-06-24 11:56:40 INFO  :46 - Progrem starting
2015-06-24 11:56:40 INFO  :56 - Opening stream to bank of israel
2015-06-24 11:56:41 INFO  :118 - Closing stream with bank of israel
2015-06-24 11:56:41 INFO  :144 - Successfully built GUI
2015-06-24 11:58:22 INFO  :46 - Progrem starting
2015-06-24 11:58:22 INFO  :56 - Opening stream to bank of israel
2015-06-24 11:58:22 INFO  :118 - Closing stream with bank of israel
2015-06-24 11:58:23 INFO  :144 - Successfully built GUI
2015-06-24 12:00:43 INFO  :46 - Progrem starting
2015-06-24 12:00:43 INFO  :56 - Opening stream to bank of israel
2015-06-24 12:00:44 INFO  :118 - Closing stream with bank of israel
